업소명,소재지,위도,경도,전화번호,업태,주된음식,행정동,(재)지정사항,데이터기준일자
삼다해물뚝배기,제주특별자치도 서귀포시 일주동로 8167 (하효동),33.260322,126.6148546,064-733-0591,한식,해물뚝배기,효돈동,재지정,2018-11-01
미향해장국효돈점,제주특별자치도 서귀포시 효돈로 11 (신효동),33.2608222,126.6007439,064-767-6767,한식,해장국,효돈동,재지정,2018-11-01
낭밭식당,제주특별자치도 서귀포시 표선면 서성일로 31,33.3948805,126.8007685,064-787-0414,한식,돼지불고기,표선면,재지정,2018-11-01
돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23,33.3940309,126.8006415,064-787-3720,한식,흑돼지구이,표선면,재지정,2018-11-01
성읍타운,제주특별자치도 서귀포시 표선면 성읍민속로 191,33.3932437,126.7963529,064-787-8005,한식,돼지불고기,표선면,재지정,2018-11-01
목장원식당바스메,제주특별자치도 서귀포시 표선면 번영로 2524,33.4136187,126.7527705,064-787-3930,한식,말고기요리,표선면,재지정,2018-11-01
강해일횟집,제주특별자치도 서귀포시 표선면 표선당포로 14,33.3257158,126.844434,064-787-7270,일식,활어회,표선면,재지정,2018-11-01
오라방식당,제주특별자치도 서귀포시 표선면 성읍서문로 19,33.3860871,126.7995673,064-787-7878,한식,돼지불고기,표선면,재지정,2018-11-01
금데기식당,제주특별자치도 서귀포시 표선면 표선당포로 19-5,33.3263531,126.8441227,064-787-1575,일식,활어회,표선면,재지정,2018-11-01
국수앤백사장회센터,제주특별자치도 서귀포시 표선면 표선당포로 19-3,33.3262302,126.8442811,064-787-5630,일식,활어회,표선면,재지정,2018-11-01
대우반점,제주특별자치도 서귀포시 표선면 표선중앙로 66,33.3270813,126.8316509,064-787-2577,중식,짜장면. 짬뽕,표선면,재지정,2018-11-01
다미진,제주특별자치도 서귀포시 표선면 민속해안로 578-1,33.3250737,126.8441192,064-787-5050,일식,활어회,표선면,재지정,2018-11-01
해뜸,제주특별자치도 서귀포시 표선면 민속해안로 584,33.3229914,126.8248631,064-787-7170,한식,흑돼지구이,표선면,재지정,2018-11-01
임숙현돼지주물럭,제주특별자치도 서귀포시 표선면 표선동서로 70,33.3299649,126.838304,064-787-9155,한식,돼지주물럭,표선면,재지정,2018-11-01
멋진녀석들,제주특별자치도 서귀포시 표선면 민속해안로 570,33.3126457,126.8232437,064-787-7557,한식,흑돼지구이,표선면,재지정,2018-11-01
고금삼계탕,제주특별자치도 서귀포시 표선면 번영로 3428번길 7,33.3425479,126.8262043,064-787-6674,한식,삼계탕,표선면,재지정,2018-11-01
